copy pasted from supplementary .doc document,,,,,,,,,,
"Phoebis neocypris virgo (Butler, 1870)",11,12,high altitude,,,,,,,
"Zerene cesonia cesonia (Stoll, 1790)",8,6,high altitude,,,,,,,
"Adelpha donysa donysa (Hewitson, 1847)",11,5,high altitude,,,,,,,
"Adelpha iphiclus iphiclus   (Linnaeus, 1758)",1,0,high altitude,,,,,,,
"Adelpha leuceria leuceria   (H. Druce, 1874)",47,0,high altitude,,,,,,,
"Adelpha leucerioides   Beutelspacher, 1975",0,40,high altitude,,,,,,,
"Altinote ozomene nox  (H.W. Bates, 1864)",63,5,high altitude,,,,,,,
"Anetia thirza thirza   Geyer, [1833]",6,14,high altitude,,,,,,,
"Archeoprepona phaedra  (Goldman & Salvin, 1884)",11,0,high altitude,,,,,,,
"Castilia chinantlensis   (R. F. De la Maza, 1978)",4,0,high altitude,,,,,,,
"Cissia pseudoconfusa   Singer, DeVries & Ehrlich, 1983",0,2,high altitude,,,,,,,
"Colobura dirce dirce    (Linnaeus, 1758)",0,4,high altitude,,,,,,,
"Cyllopsis hedemanni hedemanni    R. Felder, 1869",0,1,high altitude,,,,,,,
"Cyllopsis suivalenoides   L.D. Miller, 1974",0,8,high altitude,,,,,,,
"Cyllopsis suivalens escalantei    L.D. Miller, 1974",63,147,high altitude,,,,,,,
"Diaethria anna anna (Guérin-Ménéville, [1844])",0,209,high altitude,,,,,,,
"Diaetria pandama   (Doubleday, [1848])",13,0,high altitude,,,,,,,
"Dione moneta poeyii    Butler, 1873",28,94,high altitude,,,,,,,
"Dircenna jemina   (Geyer, 1837)",21,0,high altitude,,,,,,,
"Dircenna klugii   (Geyer, 1837)",0,4,high altitude,,,,,,,
"Doxocopa laurentia cherubina (C.Felder & R. Felder, 1867)",4,0,high altitude,,,,,,,
"Epiphile adrasta adrasta    Hewitson, 1861",1,6,high altitude,,,,,,,
"Epiphile hermosa   J. De la Maza & Díaz, 1978",4,0,high altitude,,,,,,,
"Epiphile iblis plutonia    H.W. Bates, 1864",5,3,high altitude,,,,,,,
"Episcada salvinia salvinia   (H.W. Bates, 1864)",11,16,high altitude,,,,,,,
"Eueides lineata    Salvin & Godman, 1868",0,82,high altitude,,,,,,,
"Greta annette annette (Guérin-Méneville, [1844])",21,4,high altitude,,,,,,,
"Gyrocheilus patrobas patrobas  (Hewitson, 1862)",1,0,high altitude,,,,,,,
"Hamadryas fornax fornacalia (Fruhstorfer, 1907)",15,0,high altitude,,,,,,,
"Hamadryas guatemalena guatemalena (H.W. Bates, 1864)",0,3,high altitude,,,,,,,
"Heliconius hortense    Guérin-Méneville, [1844]",0,47,high altitude,,,,,,,
"Hypanartia dione disjuncta     Willmott, J. Hall y Lamas, 2001",2,24,high altitude,,,,,,,
"Hypanartia godmanii (H.W. Bates, 1864)",21,6,high altitude,,,,,,,
"Hypanartia lethe (Fabricius, 1793)",27,5,high altitude,,,,,,,
"Hypanartia trimaculata autumna    Willmott, J. Hall & Lamas, 2001",9,13,high altitude,,,,,,,
