dataset_id,year,period,timepoints,regional,regional_richness,local,local_richness
larsen_2018a,1996,intermediate,10,Llyn Brianne,52,LI7,32
larsen_2018a,1997,intermediate,11,Llyn Brianne,53,LI7,37
larsen_2018a,1998,intermediate,12,Llyn Brianne,55,LI7,39
larsen_2018a,1999,intermediate,13,Llyn Brianne,53,LI7,27
larsen_2018a,2000,intermediate,14,Llyn Brianne,58,LI7,42
larsen_2018a,2001,intermediate,15,Llyn Brianne,54,LI7,34
larsen_2018a,2002,intermediate,16,Llyn Brianne,46,LI7,37
larsen_2018a,2003,intermediate,17,Llyn Brianne,43,LI7,28
larsen_2018a,2004,intermediate,18,Llyn Brianne,41,LI7,31
larsen_2018a,2005,intermediate,19,Llyn Brianne,46,LI7,36
larsen_2018a,2006,intermediate,20,Llyn Brianne,44,LI7,32
larsen_2018a,2007,intermediate,21,Llyn Brianne,51,LI7,31
larsen_2018a,2010,intermediate,22,Llyn Brianne,48,LI7,29
larsen_2018a,2012,intermediate,23,Llyn Brianne,57,LI7,41
larsen_2018a,2013,last,24,Llyn Brianne,48,LI7,28
larsen_2018a,1985,first,1,Llyn Brianne,56,LI8,25
larsen_2018a,1986,intermediate,2,Llyn Brianne,50,LI8,20
larsen_2018a,1987,intermediate,3,Llyn Brianne,43,LI8,21
larsen_2018a,1988,intermediate,4,Llyn Brianne,46,LI8,21
larsen_2018a,1989,intermediate,5,Llyn Brianne,41,LI8,16
larsen_2018a,1990,intermediate,6,Llyn Brianne,53,LI8,27
larsen_2018a,1992,intermediate,7,Llyn Brianne,57,LI8,23
larsen_2018a,1993,intermediate,8,Llyn Brianne,36,LI8,10
larsen_2018a,1995,intermediate,9,Llyn Brianne,52,LI8,22
larsen_2018a,1996,intermediate,10,Llyn Brianne,52,LI8,24
larsen_2018a,1997,intermediate,11,Llyn Brianne,53,LI8,24
larsen_2018a,1998,intermediate,12,Llyn Brianne,55,LI8,16
larsen_2018a,1999,intermediate,13,Llyn Brianne,53,LI8,21
larsen_2018a,2000,intermediate,14,Llyn Brianne,58,LI8,24
larsen_2018a,2001,intermediate,15,Llyn Brianne,54,LI8,17
larsen_2018a,2002,intermediate,16,Llyn Brianne,46,LI8,20
larsen_2018a,2003,intermediate,17,Llyn Brianne,43,LI8,18
larsen_2018a,2004,intermediate,18,Llyn Brianne,41,LI8,14
larsen_2018a,2005,intermediate,19,Llyn Brianne,46,LI8,15
larsen_2018a,2006,intermediate,20,Llyn Brianne,44,LI8,16
larsen_2018a,2007,intermediate,21,Llyn Brianne,51,LI8,18
larsen_2018a,2010,intermediate,22,Llyn Brianne,48,LI8,15
larsen_2018a,2012,intermediate,23,Llyn Brianne,57,LI8,19
larsen_2018a,2013,last,24,Llyn Brianne,48,LI8,15
larsen_2018b,1984,first,1,Wales,80,Site_1,19.65517
larsen_2018b,1995,intermediate,2,Wales,86,Site_1,19.2069
larsen_2018b,2012,last,3,Wales,82,Site_1,20.89655
larsen_2018b,1984,first,1,Wales,80,Site_2,9.183102
larsen_2018b,1995,intermediate,2,Wales,86,Site_2,7.820747
larsen_2018b,2012,last,3,Wales,82,Site_2,9.956266
litza_2016,1967,first,1,"Schleswig-Holstein, Germany",182,all_sites,39
litza_2016,2015,last,2,"Schleswig-Holstein, Germany",164,all_sites,36
molina-martinez_2016,1988,first,1,"Sierra de Juarez, Mexico",221,117,131
molina-martinez_2016,2010,last,2,"Sierra de Juarez, Mexico",178,117,101
molina-martinez_2016,1988,first,1,"Sierra de Juarez, Mexico",221,1300,91
molina-martinez_2016,2010,last,2,"Sierra de Juarez, Mexico",178,1300,71
molina-martinez_2016,1988,first,1,"Sierra de Juarez, Mexico",221,1600,66
molina-martinez_2016,2010,last,2,"Sierra de Juarez, Mexico",178,1600,57
molina-martinez_2016,1988,first,1,"Sierra de Juarez, Mexico",221,2000,34
molina-martinez_2016,2010,last,2,"Sierra de Juarez, Mexico",178,2000,52
molina-martinez_2016,1988,first,1,"Sierra de Juarez, Mexico",221,2400,15
molina-martinez_2016,2010,last,2,"Sierra de Juarez, Mexico",178,2400,40
molina-martinez_2016,1988,first,1,"Sierra de Juarez, Mexico",221,3000,11
molina-martinez_2016,2010,last,2,"Sierra de Juarez, Mexico",178,3000,24
molina-martinez_2016,1988,first,1,"Sierra de Juarez, Mexico",221,600,128
molina-martinez_2016,2010,last,2,"Sierra de Juarez, Mexico",178,600,90
molina-martinez_2016,1988,first,1,"Sierra de Juarez, Mexico",221,800,136
molina-martinez_2016,2010,last,2,"Sierra de Juarez, Mexico",178,800,99
prach_2018,1966,first,1,Bohemian Forest,222,all_sites,15
prach_2018,2009,last,2,Bohemian Forest,201,all_sites,12
van-der-berge_2019,1974,first,1,"forest, Turnhout",30,all_sites,5.6
van-der-berge_2019,2015,last,2,"forest, Turnhout",24,all_sites,3.65
van-der-berge_2019,1974,first,1,"hedgerows, Turnhout",70,all_sites,8.69
van-der-berge_2019,2015,last,2,"hedgerows, Turnhout",120,all_sites,13.2
